address,contact,cuisines,event_date,event_desc,event_name,facility,featured_collections,geo_location_lat,geo_location_long,known_for,link,name,price_beer,price_two,price_two_comp,rating,timetable,votes,what_people_love_here
"Small Vagator, Next to Fishtail Hotel, Vagator, Goa","+91 9822689948,  +91 9822120544","Fast Food, North Indian, Italian, Continental, Thai, Israeli, Seafood",,,,"Breakfast,Full Bar Available,Indoor Seating",,15.5923032317,73.7341725826,,https://www.zomato.com/goa/kumars-vagator,Kumar's,Cash,700,Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,3.8,"[['Mon', '9am – 10pm'], ['Tue', '9am – 10pm'], ['Wed', '9am – 10pm'], ['Thu', '9am – 10pm'], ['Fri', '9am – 10pm'], ['Sat', '9am – 10pm'], ['Sun', '9am – 10pm']]",19,
"Shangri-La’s – Eros Hotel, 19, Lobby Level, Ashoka Road, Connaught Place, New Delhi","+91 9599787833,  011 41191040",Asian,,,,"Wheelchair Accessible,Full Bar Available,Outdoor Seating,Smoking Area,Table booking recommended,Valet Parking Available,Indoor Seating,Luxury Dining,4/5 Star,Brunch",",Luxury Dining",28.6209389411,77.2172711045,,https://www.zomato.com/ncr/shang-palace-shangri-las-eros-hotel-new-delhi-connaught-place-new-delhi,"Shang Palace - Shangri-La's - Eros Hotel, New Delhi",475,"3,500",Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,4.0,"[['Mon', '12:30pm – 2:45pm, 7pm – 11:45pm'], ['Tue', '12:30pm – 2:45pm, 7pm – 11:45pm'], ['Wed', '12:30pm – 2:45pm, 7pm – 11:45pm'], ['Thu', '12:30pm – 2:45pm, 7pm – 11:45pm'], ['Fri', '12:30pm – 2:45pm, 7pm – 11:45pm'], ['Sat', '12:30pm – 2:45pm, 7pm – 11:45pm'], ['Sun', '12:30pm – 2:45pm, 7pm – 11:45pm']]",290,"Food,Service,Look & Feel"
"8, PVR Anupam Complex, Community Centre","011 41629688,  011 41629788","Cafe, Italian",,,,"Breakfast,Home Delivery,Wine and Beer,Table booking not available,Wifi,All Day Breakfast,Indoor Seating",",Great Cafes",28.5228695042,77.2079075128,,https://www.zomato.com/ncr/the-coffee-shop-saket-new-delhi,The Coffee Shop,225,"1,500",2 sandwiches + 2 beverages,4.2,"[['Mon', '9am – 12midnight'], ['Tue', '9am – 12midnight'], ['Wed', '9am – 12midnight'], ['Thu', '9am – 12midnight'], ['Fri', '9am – 12midnight'], ['Sat', '9am – 12midnight'], ['Sun', '9am – 12midnight']]",702,"Food,Service,Look & Feel"
"49, Ground Floor, North West Avenue, Club Road, Punjabi Bagh, New Delhi","+91 9555099000,  +91 9650056644","North Indian, Chinese, Street Food, Continental",,,,"Home Delivery,Full Bar Available,Live Sports Screening,Table booking recommended,Wifi,Valet Parking Available,Indoor Seating,Smoking Area",,28.6668380150,77.1197272092,,https://www.zomato.com/ncr/the-backyard-punjabi-bagh-new-delhi,The Backyard,290,"1,800",Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,4.0,"[['Mon', '12noon – 1am'], ['Tue', '12noon – 1am'], ['Wed', '12noon – 1am'], ['Thu', '12noon – 1am'], ['Fri', '12noon – 1am'], ['Sat', '12noon – 1am'], ['Sun', '12noon – 1am']]",838,"Food,Service,Look & Feel"
"Shed 51, DSIDC Market, Scheme 3, Okhla Phase 2, New Delhi","011 26384452,  +91 9971925931","North Indian, Chinese",,,,"Home Delivery,Full Bar Available,Smoking Area,Buffet,Indoor Seating",,28.5376026083,77.2803070396,,https://www.zomato.com/ncr/drink-dine-okhla-phase-2-new-delhi,Drink & Dine,120,600,Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,3.4,"[['Mon', '11am – 11pm'], ['Tue', '11am – 11pm'], ['Wed', '11am – 11pm'], ['Thu', '11am – 11pm'], ['Fri', '11am – 11pm'], ['Sat', '11am – 11pm'], ['Sun', '11am – 11pm']]",7,
"3/48, Malcha Marg Shopping Centre, Chanakyapuri, New Delhi","011 46068144,  011 46068155","Lebanese, Italian, North Indian, Salad",,,,"Home Delivery,Full Bar Available,Indoor Seating,Table reservation required",,28.6024059047,77.1864686161,,https://www.zomato.com/ncr/fez-dining-and-bar-chanakyapuri-new-delhi,Fez Dining and Bar,265,"2,000",Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,4.1,"[['Mon', '12noon – 1am'], ['Tue', '12noon – 1am'], ['Wed', '12noon – 1am'], ['Thu', '12noon – 1am'], ['Fri', '12noon – 1am'], ['Sat', '12noon – 1am'], ['Sun', '12noon – 1am']]",713,"Food,Service,Look & Feel"
"The Leela Palace, Diplomatic Enclave, Chanakyapuri, New Delhi","011 39331234,  011 39331235","North Indian, Italian, Asian, Seafood, Continental",,,,"Breakfast,Wheelchair Accessible,Full Bar Available,4/5 Star,Brunch,Valet Parking Available,Indoor Seating,Luxury Dining,Wifi,Table booking recommended",,28.5797880876,77.1891112626,Decor & Thai delicacies,https://www.zomato.com/ncr/the-qube-the-leela-palace-chanakyapuri-new-delhi,The Qube - The Leela Palace,Cash,"3,000",Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,4.0,"[['Mon', '6:30am – 12:45am'], ['Tue', '6:30am – 12:45am'], ['Wed', '6:30am – 12:45am'], ['Thu', '6:30am – 12:45am'], ['Fri', '6:30am – 12:45am'], ['Sat', '6:30am – 12:45am'], ['Sun', '6:30am – 12:45am']]",620,"Food,Service,Look & Feel"
"Season Hotels & Resort, Near Jawaharlal Nehru Stadium, Fatorda, Margao, Goa","+91 8322749696,  +91 9230031570","Seafood, Continental, North Indian",,,,"Breakfast,Full Bar Available,4/5 Star,Table booking recommended,Valet Parking Available,Indoor Seating",,15.2906274913,73.9611739665,,https://www.zomato.com/goa/indulge-seasons-hotels-resorts-margao,Indulge - Seasons Hotels & Resorts,Cash,"1,000",Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,3.4,"[['Mon', '7am – 11pm'], ['Tue', '7am – 11pm'], ['Wed', '7am – 11pm'], ['Thu', '7am – 11pm'], ['Fri', '7am – 11pm'], ['Sat', '7am – 11pm'], ['Sun', '7am – 11pm']]",18,
"Neptune Point, Colomb Beach,Colomb Beach,Canacona, Palolem, Goa",+91 9158432629,"Indian, Chinese, Continental, Mexican, Italian, Thai",,,,"Serves Non Veg,Full Bar Available,Table Reservation Not Required,Wifi,Indoor Seating",,15.0107416000,74.0230895000,,https://www.zomato.com/goa/neptune-point-beach-cafe-palolem,Neptune Point Beach Cafe,Cash,"1,500",Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,3.4,"[['Mon', '9:30am – 2pm, 3pm – 7:30pm'], ['Tue', '9:30am – 2pm, 3pm – 7:30pm'], ['Wed', '9:30am – 2pm, 3pm – 7:30pm'], ['Thu', '9:30am – 2pm, 3pm – 7:30pm'], ['Fri', '9:30am – 2pm, 3pm – 7:30pm'], ['Sat', '9:30am – 2pm, 3pm – 7:30pm'], ['Sun', '9:30am – 2pm, 3pm – 7:30pm']]",19,
"Mapusa Residency Building, First Floor, Opposite Gandhi Circle, Mapusa, Goa",020 71966993,"North Indian, Goan",,,,"Breakfast,Serves Alcohol,Indoor Seating",",Newly Opened",15.5888196751,73.8087302819,,https://www.zomato.com/goa/kubers-kitchen-mapusa,Kubers Kitchen,Cash,"1,200",Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,3.4,"[['Mon', '7am – 11pm'], ['Tue', '7am – 11pm'], ['Wed', '7am – 11pm'], ['Thu', '7am – 11pm'], ['Fri', '7am – 11pm'], ['Sat', '7am – 11pm'], ['Sun', '7am – 11pm']]",11,
"P.O. Calangute, Baga, Goa","0832 2276183,  0832 3293271","North Indian, Continental, Chinese, Goan, Seafood",,,,"Full Bar Available,Indoor Seating",,15.5560386690,73.7559601665,,https://www.zomato.com/goa/the-ronil-royale-baga,The Ronil Royale,Cash,800,Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,2.7,"[['Mon', '7am – 11pm'], ['Tue', '7am – 11pm'], ['Wed', '7am – 11pm'], ['Thu', '7am – 11pm'], ['Fri', '7am – 11pm'], ['Sat', '7am – 11pm'], ['Sun', '7am – 11pm']]",26,
